Quantity,Hardware Description with Size,Grade,Length (in)
11,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 8,9.231
78,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 5,15.762
153,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,18.792
7,SS M16x2.0 Hex Bolt,ASTM B8M Class 2,15.884
48,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,0.667
123,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,12.094
79,SS M10x1.5 Hex Bolt,ASTM A490,8.476
178,"ASTM A449 3/4"" Stud",SAE Grade 5,14.922
51,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 2,18.727
67,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,9.111
5,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,2.784
10,"ASTM A502 1/2"" Solid Rivet",SAE Grade 5,3.168
57,"SS 5/8""-11 Hex Bolt",SAE Grade 5,3.823
101,"Aluminum 3/4"" Turnbuckle",ASTM A490,19.567
50,"Aluminum 3/4"" Turnbuckle",ASTM A490,9.283
142,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 5,5.418
54,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,17.204
178,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,6.871
66,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,11.423
15,"SS 3/4""-10 Hex Bolt",ASTM B8M Class 2,5.908
186,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,18.731
29,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,0.457
16,"SS 1/2"" Flat Washer",ASTM A490,0.856
136,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 8,9.597
33,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,0.444
62,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,11.777
87,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8 Class 1,19.053
110,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,15.102
7,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BD,7.955
121,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,18.523
35,"Steel 5/8"" Turnbuckle",ASTM A307 Grade B,14.368
44,"SS 1""-8 Hex Bolt",ASTM A325,4.999
156,"ASTM A449 1/2"" Stud",SAE Grade 5,11.433
41,SS M10x1.5 Hex Bolt,ASTM A325,6.285
179,"ASTM A449 1/2"" Stud",ASTM B8M Class 2,14.653
1,"Steel 3/4"" Turnbuckle",ASTM A307 Grade B,6.453
110,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,9.551
146,"ASTM A307 3/4"" All Thread Rod",ASTM A354 Grade BD,12.147
153,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,8.45
45,SS M8x1.25 Hex Bolt,SAE Grade 8,13.415
100,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,0.148
99,SS M12x1.75 Hex Bolt,ASTM A325,9.329
38,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,5.515
134,"SS 3/4"" Flat Washer",SAE J429 Grade 5,1.526
87,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,7.857
125,"SS 1/2"" Flat Washer",SAE J429 Grade 2,6.236
151,"SS 1/2"" Flat Washer",SAE Grade 8,2.774
50,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BC,7.493
131,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8M Class 2,17.397
120,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade A,11.305
11,SS M10x1.5 Hex Bolt,ASTM A354 Grade BC,10.587
90,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 105,17.201
95,"Aluminum 3/4"" Turnbuckle",SAE Grade 8,14.615
17,"SS 3/4""-10 Hex Bolt",SAE Grade 5,12.019
45,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 55,18.807
123,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BD,1.097
13,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 105,19.951
114,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,16.161
103,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,17.62
157,"ASTM A307 3/4"" All Thread Rod",ASTM A307 Grade A,19.113
101,SS M8x1.25 Hex Bolt,SAE J429 Grade 2,6.991
77,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BC,17.502
150,SS M8x1.25 Hex Bolt,ASTM A354 Grade BD,18.66
55,"SS 1/2"" Flat Washer",ASTM A307 Grade A,12.259
149,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,13.304
69,SS M16x2.0 Hex Bolt,ASTM A490,7.423
159,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 105,9.849
137,SS M8x1.25 Hex Bolt,ASTM A490,18.391
129,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 5,1.132
68,SS M8x1.25 Hex Bolt,ASTM A490,14.684
133,"ASTM A502 1/2"" Solid Rivet",ASTM B8 Class 1,7.598
55,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,16.105
4,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade A,18.628
200,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,4.244
58,"SS 3/4"" Flat Washer",SAE Grade 8,13.684
200,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 2,4.622
9,"SS 1""-8 Hex Bolt",SAE Grade 5,8.546
198,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,4.994
141,"A563 3/4"" Heavy Hex Nut",ASTM A490,6.489
159,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,1.406
78,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,14.569
107,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 2,9.711
175,SS M8x1.25 Hex Bolt,ASTM A490,16.833
66,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BD,18.972
44,"Aluminum 5/8"" Turnbuckle",SAE Grade 8,13.156
25,SS M8x1.25 Hex Bolt,SAE J429 Grade 5,19.179
187,"ASTM A307 3/4"" All Thread Rod",ASTM A325,2.818
64,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,14.596
30,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,0.764
195,"ASTM A449 1/2"" Stud",ASTM A325,14.582
138,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 55,16.325
179,"SS 1/4""-20 Hex Bolt",ASTM A354 Grade BD,9.781
141,"SS 3/4"" Flat Washer",SAE Grade 8,0.923
129,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 36,18.314
36,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,0.283
193,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 5,6.617
67,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,8.95
187,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,11.983
32,"Steel 5/8"" Turnbuckle",ASTM A307 Grade B,17.809
25,"SS 1/4""-20 Hex Bolt",SAE Grade 8,6.826
94,SS M16x2.0 Hex Bolt,SAE Grade 8,11.709
82,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,2.819
82,SS M8x1.25 Hex Bolt,ASTM A490,0.63
100,"Steel 5/8"" Turnbuckle",ASTM A307 Grade A,14.678
158,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 36,18.085
32,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 55,18.059
165,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 55,3.372
127,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,4.874
194,SS M10x1.5 Hex Bolt,ASTM A490,2.292
14,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 8,0.457
174,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,10.998
126,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,10.006
165,"SS 1/2"" Flat Washer",SAE Grade 8,16.575
88,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade A,15.112
184,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 105,19.791
63,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 2,11.84
54,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 2,3.955
115,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,19.277
98,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 8,9.203
90,SS M12x1.75 Hex Bolt,SAE Grade 8,10.176
29,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,4.015
168,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,1.957
100,"ASTM A449 1/2"" Stud",SAE J429 Grade 8,10.872
39,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,15.243
197,"SS 1/2""-13 Hex Bolt",SAE Grade 8,6.609
129,"A563 3/4"" Heavy Hex Nut",ASTM A325,15.911
137,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 55,5.047
167,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade B,13.524
37,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 55,18.394
190,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 105,7.324
69,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,2.971
145,"ASTM A449 1/2"" Stud",ASTM A307 Grade B,7.45
22,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,6.093
140,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,6.253
107,"ASTM A449 1/2"" Stud",SAE Grade 5,2.003
1,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade B,11.291
159,SS M12x1.75 Hex Bolt,ASTM A490,9.443
17,"ASTM A307 3/4"" All Thread Rod",ASTM A307 Grade A,1.118
78,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,10.581
8,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,3.555
160,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,10.208
139,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,8.054
49,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,8.603
177,SS M8x1.25 Hex Bolt,ASTM A325,0.979
92,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,18.135
30,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 2,5.807
190,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 105,18.235
37,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 105,13.799
68,"Steel 5/8"" Turnbuckle",SAE J429 Grade 2,17.501
113,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,1.683
90,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 2,8.902
181,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 5,14.059
139,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,12.143
49,"SS 5/8""-11 Hex Bolt",SAE Grade 8,4.18
189,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BC,4.67
180,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,14.438
197,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 105,11.115
84,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,8.433
84,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 2,2.531
36,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BD,0.762
47,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,2.845
199,"SS 5/8""-11 Hex Bolt",ASTM A490,8.697
113,"SS 1""-8 Hex Bolt",ASTM A354 Grade BC,18.072
67,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 5,17.761
88,SS M8x1.25 Hex Bolt,ASTM A307 Grade A,19.198
35,SS M12x1.75 Hex Bolt,ASTM A354 Grade BC,4.195
51,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,7.978
86,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,11.18
184,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 105,5.729
105,"SS 1/4""-20 Hex Bolt",ASTM A490,15.358
135,"ASTM A307 3/4"" All Thread Rod",ASTM B8 Class 1,3.122
156,SS M16x2.0 Hex Bolt,ASTM A354 Grade BC,5.217
75,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 2,0.214
162,SS M12x1.75 Hex Bolt,ASTM A307 Grade B,19.08
28,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 55,9.9
162,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 2,9.84
3,"SS 1/2"" Flat Washer",ASTM A354 Grade BD,13.667
181,"Aluminum 3/4"" Turnbuckle",ASTM A325,8.659
70,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 36,15.688
133,"SS 3/4"" Flat Washer",ASTM F1554 Grade 55,18.662
11,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BC,16.973
172,"SS 3/8""-16 Hex Bolt",SAE Grade 8,12.785
6,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,16.865
152,SS M8x1.25 Hex Bolt,ASTM A354 Grade BC,5.21
120,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,7.02
18,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 36,19.012
11,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,17.458
143,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BD,13.003
7,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,11.313
80,"Steel 3/4"" Turnbuckle",ASTM A307 Grade B,15.167
90,"ASTM A307 3/4"" All Thread Rod",ASTM A354 Grade BD,12.088
149,"ASTM A449 1/2"" Stud",SAE J429 Grade 8,13.94
53,SS M12x1.75 Hex Bolt,SAE J429 Grade 8,2.122
79,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,14.74
23,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,6.705
137,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,9.959
102,"Aluminum 3/4"" Turnbuckle",ASTM A325,1.263
94,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,3.213
75,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,4.865
62,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 36,9.069
89,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,14.137
192,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,13.812
46,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,14.156
161,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,1.878
37,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BD,1.081
119,"ASTM A449 1/2"" Stud",ASTM A490,9.221
191,"SS 3/4""-10 Hex Bolt",ASTM B8M Class 2,1.023
74,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,4.757
95,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 55,11.098
117,ASTM A307 M12 All Thread Rod,ASTM A325,13.306
89,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,1.287
20,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,6.262
74,"ASTM A449 3/4"" Stud",ASTM A490,15.785
77,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 55,18.734
163,"ASTM F1554 5/8"" Anchor Bolt",ASTM A490,8.53
32,"Steel 5/8"" Turnbuckle",SAE Grade 8,10.15
109,"ASTM A307 3/4"" All Thread Rod",ASTM A307 Grade B,14.98
116,ASTM A307 M12 All Thread Rod,ASTM A490,3.731
155,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade B,19.468
53,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,3.128
72,"SS 3/4"" Flat Washer",ASTM A490,19.408
90,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,4.591
122,SS M8x1.25 Hex Bolt,ASTM A307 Grade A,17.554
50,"ASTM A449 3/4"" Stud",SAE Grade 5,6.221
55,"SS 3/4"" Flat Washer",SAE J429 Grade 8,5.672
158,SS M10x1.5 Hex Bolt,ASTM B8M Class 2,3.51
52,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,11.722
45,"A563 3/4"" Heavy Hex Nut",ASTM A325,9.24
50,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,5.496
165,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,6.602
1,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,18.438
147,"Aluminum 5/8"" Turnbuckle",SAE Grade 5,18.483
23,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,13.518
21,"SS 5/8""-11 Hex Bolt",ASTM A325,8.853
181,"SS 1/2"" Flat Washer",ASTM A307 Grade B,12.584
115,SS M10x1.5 Hex Bolt,SAE Grade 8,18.042
161,"Aluminum 5/8"" Turnbuckle",ASTM B8 Class 1,6.062
4,SS M10x1.5 Hex Bolt,SAE J429 Grade 8,6.452
194,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,14.494
162,"A563 5/8"" Heavy Hex Nut",ASTM A490,6.67
96,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,16.022
107,SS M12x1.75 Hex Bolt,ASTM A490,12.088
178,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,9.205
129,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,7.069
152,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 55,12.182
171,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,3.17
128,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,3.27
100,ASTM A307 M12 All Thread Rod,ASTM A325,1.963
174,"ASTM A502 3/4"" Solid Rivet",ASTM A325,18.257
66,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 36,10.837
125,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,14.279
38,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,15.238
155,"SS 1""-8 Hex Bolt",SAE Grade 5,15.253
195,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BD,7.959
191,"SS 3/8""-16 Hex Bolt",ASTM A490,9.437
54,"ASTM A502 3/4"" Solid Rivet",ASTM A325,1.215
130,"ASTM A449 1/2"" Stud",ASTM A490,3.118
172,"ASTM A449 1/2"" Stud",ASTM A490,5.956
183,ASTM A307 M12 All Thread Rod,ASTM A307 Grade B,17.708
12,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BD,8.021
152,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 55,8.033
90,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,11.03
15,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 55,14.291
2,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 8,3.496
174,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BD,10.871
123,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade A,7.229
70,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 55,16.657
122,"SS 3/8""-16 Hex Bolt",ASTM A490,8.821
133,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,8.887
71,"Steel 5/8"" Turnbuckle",SAE J429 Grade 5,14.325
96,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,18.85
100,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,8.04
142,"SS 1/2"" Flat Washer",SAE J429 Grade 5,12.469
86,SS M8x1.25 Hex Bolt,ASTM A325,3.026
179,SS M10x1.5 Hex Bolt,ASTM A354 Grade BC,4.871
76,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BC,17.909
194,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 55,14.62
54,"SS 3/4""-10 Hex Bolt",ASTM A325,5.762
179,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 2,4.724
59,SS M8x1.25 Hex Bolt,ASTM A307 Grade B,10.191
12,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,18.139
168,"SS 1""-8 Hex Bolt",SAE Grade 8,1.343
19,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BD,11.139
42,"Steel 5/8"" Turnbuckle",ASTM B8 Class 1,9.778
102,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BC,18.525
190,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,5.315
114,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 8,7.429
7,SS M12x1.75 Hex Bolt,SAE J429 Grade 8,7.404
158,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,7.473
128,"SS 3/8""-16 Hex Bolt",ASTM A325,2.451
2,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 36,5.213
91,SS M12x1.75 Hex Bolt,SAE Grade 5,18.878
6,"SS 3/8""-16 Hex Bolt",ASTM B8 Class 1,3.602
34,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,15.265
53,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade A,7.39
109,"A563 3/4"" Heavy Hex Nut",ASTM A325,10.558
116,"SS 1/2""-13 Hex Bolt",ASTM B8 Class 1,1.767
162,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,12.555
70,"SS 5/8""-11 Hex Bolt",SAE Grade 8,11.324
167,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,18.141
195,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,3.095
179,"Aluminum 3/4"" Turnbuckle",SAE Grade 5,5.889
55,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,0.833
23,"SS 3/4"" Flat Washer",SAE Grade 8,9.925
170,"SS 1/2"" Flat Washer",ASTM A325,13.378
126,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,7.27
124,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,15.973
69,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 8,14.949
41,SS M16x2.0 Hex Bolt,SAE Grade 5,3.564
68,"ASTM A449 3/4"" Stud",ASTM A490,10.173
94,"ASTM A449 1/2"" Stud",SAE J429 Grade 8,6.46
138,SS M16x2.0 Hex Bolt,ASTM B8 Class 1,12.682
82,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,12.451
192,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 36,17.497
198,"ASTM A502 1/2"" Solid Rivet",ASTM A490,8.106
120,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,14.754
34,SS M10x1.5 Hex Bolt,SAE J429 Grade 2,17.949
5,"ASTM A502 1/2"" Solid Rivet",ASTM B8 Class 1,7.523
152,SS M10x1.5 Hex Bolt,SAE J429 Grade 2,5.418
112,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,4.959
151,SS M16x2.0 Hex Bolt,ASTM A354 Grade BC,14.803
160,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,16.676
39,"Steel 3/4"" Turnbuckle",SAE J429 Grade 5,3.012
66,"A563 5/8"" Heavy Hex Nut",ASTM A325,3.083
194,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,9.128
101,"SS 1""-8 Hex Bolt",SAE J429 Grade 2,17.65
177,"A563 3/4"" Heavy Hex Nut",SAE Grade 8,2.989
132,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 8,4.001
111,"SS 5/8""-11 Hex Bolt",ASTM B8 Class 1,4.919
33,"Steel 5/8"" Turnbuckle",ASTM A490,18.394
157,"ASTM A502 3/4"" Solid Rivet",ASTM B8M Class 2,13.16
57,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,5.453
146,"Aluminum 3/4"" Turnbuckle",ASTM B8M Class 2,14.305
194,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,19.065
200,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,13.463
158,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 8,5.171
8,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BC,8.052
82,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade B,7.206
43,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 5,13.106
123,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 36,5.939
87,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 55,2.267
117,"ASTM A502 3/4"" Solid Rivet",SAE Grade 5,1.779
99,SS M12x1.75 Hex Bolt,SAE Grade 5,16.079
155,"ASTM A449 1/2"" Stud",ASTM B8M Class 2,12.462
146,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 5,1.206
187,"SS 3/8""-16 Hex Bolt",ASTM A490,14.399
128,"SS 1/2""-13 Hex Bolt",ASTM A325,15.081
200,"SS 1/2"" Flat Washer",SAE J429 Grade 2,9.151
9,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 8,18.607
186,"SS 5/8""-11 Hex Bolt",SAE Grade 5,2.369
118,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 105,0.41
174,"ASTM A449 3/4"" Stud",SAE J429 Grade 8,15.379
197,"A563 3/4"" Heavy Hex Nut",ASTM A325,6.826
158,ASTM A307 M12 All Thread Rod,ASTM A325,13.923
161,"Aluminum 5/8"" Turnbuckle",ASTM A490,2.255
127,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,17.336
95,SS M16x2.0 Hex Bolt,SAE Grade 5,18.919
158,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BD,11.1
72,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 36,9.01
113,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 55,1.907
170,SS M10x1.5 Hex Bolt,SAE J429 Grade 8,12.854
42,"Aluminum 3/4"" Turnbuckle",ASTM A490,17.495
53,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 55,10.129
125,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 8,7.956
53,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 105,11.587
181,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,10.538
184,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,19.207
129,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BD,3.315
115,"Aluminum 3/4"" Turnbuckle",ASTM A325,12.28
183,"Steel 3/4"" Turnbuckle",ASTM B8M Class 2,3.171
150,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,11.92
138,"ASTM F1554 5/8"" Anchor Bolt",ASTM A490,1.683
99,"A563 3/4"" Heavy Hex Nut",ASTM A325,11.527
144,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,16.635
124,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,5.286
77,"A563 3/4"" Heavy Hex Nut",ASTM A325,13.741
112,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,15.906
98,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BC,14.783
189,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,1.402
172,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade B,16.11
65,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 36,18.207
122,"Steel 5/8"" Turnbuckle",SAE J429 Grade 8,6.325
162,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 8,19.575
95,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 105,7.3
169,"ASTM A307 1/2"" All Thread Rod",ASTM B8M Class 2,14.964
9,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,5.199
