Quantity,Material with Thickness,Grade,Length (ft)
49,PL 1/2 Steel Plate,ASTM A992,25.86
41,C10x15.3 Channel,ASTM A709 Grade 50,29.53
29,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,7.02
36,HSS4x4x1/4 Hollow Structural Section,ASTM A588,19.21
14,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,35.62
47,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,11.68
29,HSS6x6x3/8 Hollow Structural Section,ASTM A36,11.39
28,C10x15.3 Channel,ASTM A36,29.12
49,HSS4x4x1/4 Hollow Structural Section,ASTM A992,23.35
29,PL 1/2 Steel Plate,ASTM A709 Grade 50,15.78
8,W10x22 Wide Flange Beam,ASTM A588,5.52
38,HSS4x4x1/4 Hollow Structural Section,ASTM A992,24.48
48,PL 1/2 Steel Plate,ASTM A709 Grade 50,39.88
17,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,4.04
44,PL 1/2 Steel Plate,ASTM A500 Grade B,6.39
49,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,37.39
46,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,10.9
21,HSS4x4x1/4 Hollow Structural Section,ASTM A36,20.87
49,W10x22 Wide Flange Beam,ASTM A36,32.25
22,HSS6x6x3/8 Hollow Structural Section,ASTM A36,33.34
49,C8x11.5 Channel,ASTM A500 Grade C,2.32
24,PL 3/8 Steel Plate,ASTM A36,24.01
39,PL 3/8 Steel Plate,ASTM A36,1.45
44,C8x11.5 Channel,ASTM A36,23.2
35,L3x3x1/4 Angle,ASTM A709 Grade 50,31.46
50,L3x3x1/4 Angle,ASTM A588,17.47
43,PL 3/8 Steel Plate,ASTM A588,17.8
39,L3x3x1/4 Angle,ASTM A992,4.47
3,L3x3x1/4 Angle,ASTM A500 Grade C,12.39
24,W10x22 Wide Flange Beam,ASTM A572 Grade 50,30.32
47,C10x15.3 Channel,ASTM A992,32.11
22,L4x4x3/8 Angle,ASTM A500 Grade C,8.07
50,W10x22 Wide Flange Beam,ASTM A500 Grade B,6.81
42,C8x11.5 Channel,ASTM A36,19.44
19,C8x11.5 Channel,ASTM A572 Grade 50,36.75
4,C8x11.5 Channel,ASTM A709 Grade 50,14.69
43,L4x4x3/8 Angle,ASTM A500 Grade C,36.17
37,C10x15.3 Channel,ASTM A572 Grade 50,38.02
5,L4x4x3/8 Angle,ASTM A709 Grade 50,2.22
2,L3x3x1/4 Angle,ASTM A588,35.46
45,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,18.76
10,W8x18 Wide Flange Beam,ASTM A709 Grade 50,28.5
4,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,29.69
11,HSS6x6x3/8 Hollow Structural Section,ASTM A588,6.14
31,C10x15.3 Channel,ASTM A992,6.19
11,W10x22 Wide Flange Beam,ASTM A36,13.87
38,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,36.07
44,W10x22 Wide Flange Beam,ASTM A572 Grade 50,17.7
7,L3x3x1/4 Angle,ASTM A588,25.13
19,PL 1/2 Steel Plate,ASTM A572 Grade 50,20.17
12,L4x4x3/8 Angle,ASTM A500 Grade B,7.22
44,W10x22 Wide Flange Beam,ASTM A500 Grade C,33.87
24,PL 1/2 Steel Plate,ASTM A588,24.17
27,C8x11.5 Channel,ASTM A500 Grade B,32.2
46,L4x4x3/8 Angle,ASTM A36,24.39
10,HSS4x4x1/4 Hollow Structural Section,ASTM A36,21.99
28,L4x4x3/8 Angle,ASTM A992,23.59
31,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,35.07
13,PL 3/8 Steel Plate,ASTM A588,28.34
31,C10x15.3 Channel,ASTM A709 Grade 50,25.5
25,W10x22 Wide Flange Beam,ASTM A709 Grade 50,34.11
1,W10x22 Wide Flange Beam,ASTM A36,39.37
31,PL 1/2 Steel Plate,ASTM A992,15.27
46,PL 3/8 Steel Plate,ASTM A588,24.16
9,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,3.88
17,C10x15.3 Channel,ASTM A992,23.4
38,W10x22 Wide Flange Beam,ASTM A992,34.71
22,PL 1/2 Steel Plate,ASTM A588,29.33
16,HSS6x6x3/8 Hollow Structural Section,ASTM A992,14.67
3,L3x3x1/4 Angle,ASTM A500 Grade C,10.77
25,PL 1/2 Steel Plate,ASTM A709 Grade 50,14.07
30,L3x3x1/4 Angle,ASTM A992,28.21
33,L3x3x1/4 Angle,ASTM A36,25.87
6,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,22.61
12,L3x3x1/4 Angle,ASTM A588,3.44
37,HSS4x4x1/4 Hollow Structural Section,ASTM A992,11.97
30,W10x22 Wide Flange Beam,ASTM A709 Grade 50,17.2
21,HSS6x6x3/8 Hollow Structural Section,ASTM A588,18.98
6,PL 3/8 Steel Plate,ASTM A500 Grade C,30.69
47,W10x22 Wide Flange Beam,ASTM A992,1.97
4,C10x15.3 Channel,ASTM A572 Grade 50,27.46
7,W8x18 Wide Flange Beam,ASTM A709 Grade 50,23.42
49,C10x15.3 Channel,ASTM A992,3.66
37,PL 3/8 Steel Plate,ASTM A500 Grade C,39.22
5,C10x15.3 Channel,ASTM A500 Grade B,39.96
46,PL 1/2 Steel Plate,ASTM A709 Grade 50,28.89
2,W10x22 Wide Flange Beam,ASTM A992,8.15
48,C8x11.5 Channel,ASTM A709 Grade 50,24.65
4,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,27.95
45,L4x4x3/8 Angle,ASTM A572 Grade 50,11.13
18,L4x4x3/8 Angle,ASTM A500 Grade C,34.3
14,L4x4x3/8 Angle,ASTM A500 Grade C,34.23
23,W10x22 Wide Flange Beam,ASTM A572 Grade 50,32.61
16,L3x3x1/4 Angle,ASTM A572 Grade 50,13.86
32,PL 1/2 Steel Plate,ASTM A572 Grade 50,19.69
11,PL 1/2 Steel Plate,ASTM A992,20.94
48,HSS6x6x3/8 Hollow Structural Section,ASTM A992,2.81
9,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,2.0
36,PL 3/8 Steel Plate,ASTM A500 Grade C,1.91
40,HSS6x6x3/8 Hollow Structural Section,ASTM A36,35.69
27,L3x3x1/4 Angle,ASTM A36,8.31
46,PL 3/8 Steel Plate,ASTM A588,10.41
26,L3x3x1/4 Angle,ASTM A588,12.64
32,PL 1/2 Steel Plate,ASTM A500 Grade C,20.5
37,PL 3/8 Steel Plate,ASTM A992,13.46
8,PL 1/2 Steel Plate,ASTM A500 Grade B,12.03
7,HSS6x6x3/8 Hollow Structural Section,ASTM A588,16.22
34,PL 3/8 Steel Plate,ASTM A992,10.93
32,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,12.45
22,PL 3/8 Steel Plate,ASTM A992,1.32
23,HSS4x4x1/4 Hollow Structural Section,ASTM A588,39.04
42,PL 1/2 Steel Plate,ASTM A500 Grade B,36.18
14,W8x18 Wide Flange Beam,ASTM A500 Grade B,17.62
21,W10x22 Wide Flange Beam,ASTM A992,9.28
23,C8x11.5 Channel,ASTM A572 Grade 50,35.58
9,C10x15.3 Channel,ASTM A500 Grade B,9.96
38,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,9.86
31,PL 1/2 Steel Plate,ASTM A500 Grade C,26.21
42,W8x18 Wide Flange Beam,ASTM A500 Grade B,9.92
2,PL 3/8 Steel Plate,ASTM A992,9.14
31,HSS6x6x3/8 Hollow Structural Section,ASTM A588,25.84
16,W8x18 Wide Flange Beam,ASTM A572 Grade 50,15.91
27,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,19.8
8,HSS6x6x3/8 Hollow Structural Section,ASTM A992,19.38
43,L4x4x3/8 Angle,ASTM A992,22.42
22,HSS4x4x1/4 Hollow Structural Section,ASTM A588,28.54
47,HSS6x6x3/8 Hollow Structural Section,ASTM A992,29.07
5,W8x18 Wide Flange Beam,ASTM A500 Grade C,33.6
47,PL 1/2 Steel Plate,ASTM A588,24.47
36,L4x4x3/8 Angle,ASTM A992,3.79
21,PL 3/8 Steel Plate,ASTM A500 Grade C,6.69
49,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,25.56
5,W10x22 Wide Flange Beam,ASTM A709 Grade 50,10.33
31,PL 1/2 Steel Plate,ASTM A588,35.72
32,L4x4x3/8 Angle,ASTM A588,35.56
8,L3x3x1/4 Angle,ASTM A709 Grade 50,28.25
49,C8x11.5 Channel,ASTM A709 Grade 50,29.76
26,L3x3x1/4 Angle,ASTM A992,6.61
7,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,28.27
45,PL 1/2 Steel Plate,ASTM A992,30.66
15,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,23.32
22,L3x3x1/4 Angle,ASTM A500 Grade B,36.76
21,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,14.47
4,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,31.79
41,PL 1/2 Steel Plate,ASTM A709 Grade 50,7.24
12,PL 1/2 Steel Plate,ASTM A572 Grade 50,9.21
47,W10x22 Wide Flange Beam,ASTM A36,6.85
9,W8x18 Wide Flange Beam,ASTM A500 Grade C,39.8
17,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,4.33
20,L4x4x3/8 Angle,ASTM A588,31.86
29,C8x11.5 Channel,ASTM A500 Grade C,25.7
48,PL 3/8 Steel Plate,ASTM A588,15.8
17,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,7.95
48,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,8.14
45,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,14.34
38,W10x22 Wide Flange Beam,ASTM A709 Grade 50,2.23
28,L4x4x3/8 Angle,ASTM A36,39.46
41,C8x11.5 Channel,ASTM A572 Grade 50,30.06
23,C10x15.3 Channel,ASTM A500 Grade C,16.73
3,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,29.07
29,W8x18 Wide Flange Beam,ASTM A992,25.73
49,L4x4x3/8 Angle,ASTM A500 Grade B,39.68
33,W8x18 Wide Flange Beam,ASTM A36,24.08
24,HSS4x4x1/4 Hollow Structural Section,ASTM A992,15.88
17,C10x15.3 Channel,ASTM A709 Grade 50,16.23
22,W10x22 Wide Flange Beam,ASTM A36,18.1
8,W10x22 Wide Flange Beam,ASTM A500 Grade C,12.71
25,L3x3x1/4 Angle,ASTM A572 Grade 50,14.17
9,L4x4x3/8 Angle,ASTM A572 Grade 50,26.05
35,PL 3/8 Steel Plate,ASTM A500 Grade C,34.37
10,C8x11.5 Channel,ASTM A500 Grade C,22.41
16,W8x18 Wide Flange Beam,ASTM A588,35.93
32,PL 1/2 Steel Plate,ASTM A572 Grade 50,21.56
22,L3x3x1/4 Angle,ASTM A500 Grade C,30.34
16,W8x18 Wide Flange Beam,ASTM A36,1.5
3,C10x15.3 Channel,ASTM A36,4.53
33,HSS4x4x1/4 Hollow Structural Section,ASTM A588,35.62
33,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,31.72
28,L4x4x3/8 Angle,ASTM A992,36.05
10,L3x3x1/4 Angle,ASTM A572 Grade 50,33.79
45,C10x15.3 Channel,ASTM A588,16.54
38,HSS6x6x3/8 Hollow Structural Section,ASTM A36,35.36
22,W10x22 Wide Flange Beam,ASTM A36,29.4
12,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,1.47
46,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,39.09
1,L4x4x3/8 Angle,ASTM A500 Grade B,16.81
8,L3x3x1/4 Angle,ASTM A709 Grade 50,39.87
43,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,4.49
11,W8x18 Wide Flange Beam,ASTM A572 Grade 50,37.43
17,PL 3/8 Steel Plate,ASTM A992,37.72
29,L3x3x1/4 Angle,ASTM A572 Grade 50,37.31
43,L3x3x1/4 Angle,ASTM A500 Grade C,32.89
40,PL 3/8 Steel Plate,ASTM A500 Grade B,11.27
22,PL 1/2 Steel Plate,ASTM A500 Grade B,32.95
23,W8x18 Wide Flange Beam,ASTM A992,17.9
21,PL 3/8 Steel Plate,ASTM A500 Grade B,28.47
38,PL 1/2 Steel Plate,ASTM A500 Grade B,6.29
16,PL 1/2 Steel Plate,ASTM A500 Grade B,12.21
20,PL 1/2 Steel Plate,ASTM A500 Grade B,19.25
38,C8x11.5 Channel,ASTM A36,12.43
1,C8x11.5 Channel,ASTM A992,30.52
33,PL 1/2 Steel Plate,ASTM A992,5.53
29,W8x18 Wide Flange Beam,ASTM A992,21.5
49,PL 1/2 Steel Plate,ASTM A500 Grade B,6.97
4,W8x18 Wide Flange Beam,ASTM A588,28.11
20,PL 1/2 Steel Plate,ASTM A572 Grade 50,25.76
25,L3x3x1/4 Angle,ASTM A36,7.44
6,L3x3x1/4 Angle,ASTM A588,39.88
20,PL 1/2 Steel Plate,ASTM A709 Grade 50,31.01
50,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,7.22
5,PL 3/8 Steel Plate,ASTM A992,12.17
12,W8x18 Wide Flange Beam,ASTM A992,12.48
9,W10x22 Wide Flange Beam,ASTM A36,10.27
36,W8x18 Wide Flange Beam,ASTM A572 Grade 50,12.08
15,PL 3/8 Steel Plate,ASTM A500 Grade B,15.09
42,L3x3x1/4 Angle,ASTM A500 Grade C,30.62
17,L4x4x3/8 Angle,ASTM A500 Grade B,10.5
6,L4x4x3/8 Angle,ASTM A588,2.83
33,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,4.07
30,C8x11.5 Channel,ASTM A572 Grade 50,15.46
32,W10x22 Wide Flange Beam,ASTM A992,17.76
11,L4x4x3/8 Angle,ASTM A572 Grade 50,16.75
30,PL 1/2 Steel Plate,ASTM A500 Grade B,31.85
3,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,39.76
6,L3x3x1/4 Angle,ASTM A992,11.64
33,PL 1/2 Steel Plate,ASTM A588,30.24
38,PL 1/2 Steel Plate,ASTM A709 Grade 50,1.78
11,L4x4x3/8 Angle,ASTM A588,29.2
12,W8x18 Wide Flange Beam,ASTM A709 Grade 50,23.05
35,HSS4x4x1/4 Hollow Structural Section,ASTM A36,14.67
33,HSS4x4x1/4 Hollow Structural Section,ASTM A992,34.71
26,W10x22 Wide Flange Beam,ASTM A36,33.08
39,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,20.7
34,L3x3x1/4 Angle,ASTM A709 Grade 50,34.1
41,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,19.38
25,W10x22 Wide Flange Beam,ASTM A572 Grade 50,22.52
22,PL 3/8 Steel Plate,ASTM A500 Grade C,2.72
40,W8x18 Wide Flange Beam,ASTM A572 Grade 50,28.62
5,HSS4x4x1/4 Hollow Structural Section,ASTM A992,31.97
46,PL 1/2 Steel Plate,ASTM A572 Grade 50,26.23
4,C10x15.3 Channel,ASTM A500 Grade C,26.12
1,L3x3x1/4 Angle,ASTM A500 Grade C,4.88
17,PL 3/8 Steel Plate,ASTM A500 Grade C,38.95
13,L4x4x3/8 Angle,ASTM A588,13.69
16,W10x22 Wide Flange Beam,ASTM A709 Grade 50,11.12
19,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,7.5
26,L4x4x3/8 Angle,ASTM A36,38.53
18,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,27.24
2,PL 3/8 Steel Plate,ASTM A588,6.76
48,PL 3/8 Steel Plate,ASTM A500 Grade B,32.05
4,C8x11.5 Channel,ASTM A709 Grade 50,16.56
30,W8x18 Wide Flange Beam,ASTM A36,3.98
39,HSS6x6x3/8 Hollow Structural Section,ASTM A588,10.08
12,HSS6x6x3/8 Hollow Structural Section,ASTM A588,23.96
7,PL 3/8 Steel Plate,ASTM A992,20.82
24,L3x3x1/4 Angle,ASTM A572 Grade 50,24.21
42,PL 1/2 Steel Plate,ASTM A992,9.89
47,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,13.33
10,L3x3x1/4 Angle,ASTM A36,2.94
29,W10x22 Wide Flange Beam,ASTM A992,35.83
45,W8x18 Wide Flange Beam,ASTM A588,2.46
22,C10x15.3 Channel,ASTM A572 Grade 50,26.99
20,W10x22 Wide Flange Beam,ASTM A500 Grade C,22.16
12,PL 3/8 Steel Plate,ASTM A500 Grade B,34.74
4,W8x18 Wide Flange Beam,ASTM A709 Grade 50,7.98
44,PL 3/8 Steel Plate,ASTM A709 Grade 50,2.53
32,W8x18 Wide Flange Beam,ASTM A572 Grade 50,22.28
2,W8x18 Wide Flange Beam,ASTM A709 Grade 50,36.84
22,W8x18 Wide Flange Beam,ASTM A500 Grade C,27.96
42,L4x4x3/8 Angle,ASTM A992,32.2
6,W10x22 Wide Flange Beam,ASTM A500 Grade B,28.46
43,L4x4x3/8 Angle,ASTM A572 Grade 50,5.55
42,L4x4x3/8 Angle,ASTM A709 Grade 50,26.64
37,L4x4x3/8 Angle,ASTM A36,25.18
41,L3x3x1/4 Angle,ASTM A500 Grade B,15.47
3,W8x18 Wide Flange Beam,ASTM A709 Grade 50,27.62
38,W8x18 Wide Flange Beam,ASTM A36,7.98
37,C8x11.5 Channel,ASTM A36,25.36
47,L3x3x1/4 Angle,ASTM A709 Grade 50,37.13
44,HSS4x4x1/4 Hollow Structural Section,ASTM A992,8.15
22,L4x4x3/8 Angle,ASTM A992,34.12
11,PL 1/2 Steel Plate,ASTM A992,34.95
50,W10x22 Wide Flange Beam,ASTM A588,8.71
47,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,25.88
9,L4x4x3/8 Angle,ASTM A36,1.15
40,PL 1/2 Steel Plate,ASTM A588,36.39
2,PL 3/8 Steel Plate,ASTM A709 Grade 50,30.89
8,W10x22 Wide Flange Beam,ASTM A588,10.71
37,W8x18 Wide Flange Beam,ASTM A36,20.15
6,PL 3/8 Steel Plate,ASTM A36,28.59
37,L4x4x3/8 Angle,ASTM A36,35.93
9,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,12.53
5,PL 3/8 Steel Plate,ASTM A709 Grade 50,3.4
43,C8x11.5 Channel,ASTM A992,35.74
32,PL 1/2 Steel Plate,ASTM A36,9.76
46,L3x3x1/4 Angle,ASTM A36,24.54
7,L4x4x3/8 Angle,ASTM A500 Grade C,4.27
36,L4x4x3/8 Angle,ASTM A500 Grade B,36.58
40,W10x22 Wide Flange Beam,ASTM A572 Grade 50,27.37
14,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,25.27
22,L3x3x1/4 Angle,ASTM A992,15.99
27,W8x18 Wide Flange Beam,ASTM A500 Grade C,35.79
16,L4x4x3/8 Angle,ASTM A500 Grade C,30.1
38,PL 3/8 Steel Plate,ASTM A588,29.11
28,L3x3x1/4 Angle,ASTM A500 Grade C,35.56
48,W8x18 Wide Flange Beam,ASTM A588,4.69
48,C8x11.5 Channel,ASTM A709 Grade 50,14.09
11,W10x22 Wide Flange Beam,ASTM A992,9.33
31,PL 1/2 Steel Plate,ASTM A572 Grade 50,17.8
12,PL 3/8 Steel Plate,ASTM A992,19.75
33,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,9.4
31,PL 1/2 Steel Plate,ASTM A500 Grade C,14.13
35,C8x11.5 Channel,ASTM A709 Grade 50,38.65
48,PL 1/2 Steel Plate,ASTM A709 Grade 50,15.35
1,W8x18 Wide Flange Beam,ASTM A36,39.74
8,HSS4x4x1/4 Hollow Structural Section,ASTM A992,6.09
14,HSS4x4x1/4 Hollow Structural Section,ASTM A992,35.76
12,C10x15.3 Channel,ASTM A500 Grade C,36.52
3,HSS4x4x1/4 Hollow Structural Section,ASTM A36,32.77
3,W8x18 Wide Flange Beam,ASTM A709 Grade 50,10.61
19,L3x3x1/4 Angle,ASTM A588,11.45
47,PL 1/2 Steel Plate,ASTM A709 Grade 50,6.27
26,L3x3x1/4 Angle,ASTM A500 Grade C,15.93
47,L3x3x1/4 Angle,ASTM A572 Grade 50,8.6
49,W10x22 Wide Flange Beam,ASTM A709 Grade 50,31.22
36,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,8.1
30,W8x18 Wide Flange Beam,ASTM A500 Grade B,20.43
16,C8x11.5 Channel,ASTM A500 Grade B,38.54
48,PL 1/2 Steel Plate,ASTM A709 Grade 50,22.21
37,W8x18 Wide Flange Beam,ASTM A709 Grade 50,36.3
7,W8x18 Wide Flange Beam,ASTM A500 Grade B,18.66
38,W8x18 Wide Flange Beam,ASTM A572 Grade 50,25.0
16,L4x4x3/8 Angle,ASTM A500 Grade C,15.56
40,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,1.41
36,HSS6x6x3/8 Hollow Structural Section,ASTM A588,28.85
38,L3x3x1/4 Angle,ASTM A992,21.44
48,W8x18 Wide Flange Beam,ASTM A709 Grade 50,33.84
45,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,33.2
27,W10x22 Wide Flange Beam,ASTM A500 Grade C,14.27
16,C8x11.5 Channel,ASTM A500 Grade C,11.43
40,C8x11.5 Channel,ASTM A500 Grade C,22.01
19,W10x22 Wide Flange Beam,ASTM A572 Grade 50,7.67
49,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,5.98
38,PL 3/8 Steel Plate,ASTM A500 Grade B,11.19
9,C10x15.3 Channel,ASTM A992,25.96
18,C8x11.5 Channel,ASTM A36,6.28
18,HSS4x4x1/4 Hollow Structural Section,ASTM A588,9.74
45,C10x15.3 Channel,ASTM A500 Grade B,21.94
18,PL 3/8 Steel Plate,ASTM A500 Grade B,36.6
29,C10x15.3 Channel,ASTM A36,36.44
24,C10x15.3 Channel,ASTM A992,24.13
44,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,35.94
47,C10x15.3 Channel,ASTM A992,34.16
25,C10x15.3 Channel,ASTM A992,24.13
29,C8x11.5 Channel,ASTM A500 Grade B,5.73
20,L3x3x1/4 Angle,ASTM A992,6.74
26,PL 1/2 Steel Plate,ASTM A500 Grade B,37.63
13,W8x18 Wide Flange Beam,ASTM A36,15.56
25,C8x11.5 Channel,ASTM A36,30.71
24,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,14.64
33,C8x11.5 Channel,ASTM A36,20.36
12,C10x15.3 Channel,ASTM A588,21.98
8,PL 3/8 Steel Plate,ASTM A992,6.0
12,PL 1/2 Steel Plate,ASTM A992,27.02
30,W10x22 Wide Flange Beam,ASTM A500 Grade B,17.76
38,C10x15.3 Channel,ASTM A992,39.67
44,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,1.5
42,C8x11.5 Channel,ASTM A500 Grade B,20.23
43,PL 1/2 Steel Plate,ASTM A572 Grade 50,32.25
8,C8x11.5 Channel,ASTM A588,36.31
30,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,20.37
17,HSS6x6x3/8 Hollow Structural Section,ASTM A588,7.69
23,L3x3x1/4 Angle,ASTM A992,31.85
41,W8x18 Wide Flange Beam,ASTM A572 Grade 50,25.03
50,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,17.95
10,L3x3x1/4 Angle,ASTM A36,2.68
20,L4x4x3/8 Angle,ASTM A992,31.36
42,W8x18 Wide Flange Beam,ASTM A36,1.12
40,PL 1/2 Steel Plate,ASTM A992,38.73
40,C8x11.5 Channel,ASTM A588,19.41
45,L4x4x3/8 Angle,ASTM A572 Grade 50,29.85
48,PL 3/8 Steel Plate,ASTM A588,31.47
3,L3x3x1/4 Angle,ASTM A709 Grade 50,26.6
21,PL 1/2 Steel Plate,ASTM A992,3.4
11,W8x18 Wide Flange Beam,ASTM A709 Grade 50,35.63
24,L3x3x1/4 Angle,ASTM A500 Grade B,34.47
36,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,38.45
33,L4x4x3/8 Angle,ASTM A500 Grade B,15.13
29,PL 1/2 Steel Plate,ASTM A992,37.31
44,W8x18 Wide Flange Beam,ASTM A572 Grade 50,38.11
4,PL 3/8 Steel Plate,ASTM A992,21.8
26,C8x11.5 Channel,ASTM A500 Grade B,19.16
5,C8x11.5 Channel,ASTM A992,5.18
8,PL 3/8 Steel Plate,ASTM A572 Grade 50,1.67
38,C8x11.5 Channel,ASTM A572 Grade 50,15.79
2,HSS4x4x1/4 Hollow Structural Section,ASTM A588,35.92
24,L3x3x1/4 Angle,ASTM A572 Grade 50,38.37
37,HSS6x6x3/8 Hollow Structural Section,ASTM A588,5.19
38,W10x22 Wide Flange Beam,ASTM A36,7.33
49,W10x22 Wide Flange Beam,ASTM A588,9.69
15,L4x4x3/8 Angle,ASTM A992,8.69
48,PL 3/8 Steel Plate,ASTM A588,7.53
34,L3x3x1/4 Angle,ASTM A992,9.45
49,L3x3x1/4 Angle,ASTM A500 Grade C,23.0
33,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,18.32
50,W10x22 Wide Flange Beam,ASTM A500 Grade B,2.64
40,C8x11.5 Channel,ASTM A709 Grade 50,39.73
35,W8x18 Wide Flange Beam,ASTM A572 Grade 50,29.09
9,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,5.91
38,C10x15.3 Channel,ASTM A709 Grade 50,25.97
20,PL 3/8 Steel Plate,ASTM A709 Grade 50,21.12
35,PL 1/2 Steel Plate,ASTM A588,26.1
44,PL 1/2 Steel Plate,ASTM A572 Grade 50,34.87
50,W8x18 Wide Flange Beam,ASTM A572 Grade 50,29.68
7,C10x15.3 Channel,ASTM A588,37.42
6,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.9
45,L3x3x1/4 Angle,ASTM A36,9.19
4,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,17.01
10,PL 1/2 Steel Plate,ASTM A572 Grade 50,33.81
10,W10x22 Wide Flange Beam,ASTM A500 Grade B,10.1
47,PL 1/2 Steel Plate,ASTM A500 Grade B,24.13
19,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,27.03
1,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,19.43
1,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,17.64
37,HSS4x4x1/4 Hollow Structural Section,ASTM A36,39.5
5,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,1.64
10,L3x3x1/4 Angle,ASTM A588,39.41
42,C8x11.5 Channel,ASTM A36,8.18
35,C8x11.5 Channel,ASTM A992,13.46
33,W8x18 Wide Flange Beam,ASTM A500 Grade B,25.43
35,C10x15.3 Channel,ASTM A588,22.17
40,W10x22 Wide Flange Beam,ASTM A709 Grade 50,6.23
24,C8x11.5 Channel,ASTM A709 Grade 50,31.72
50,L4x4x3/8 Angle,ASTM A588,20.92
28,C8x11.5 Channel,ASTM A572 Grade 50,8.59
16,L3x3x1/4 Angle,ASTM A992,6.41
7,L4x4x3/8 Angle,ASTM A588,25.08
11,PL 1/2 Steel Plate,ASTM A500 Grade C,37.59
7,L4x4x3/8 Angle,ASTM A588,3.7
13,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,38.68
5,W8x18 Wide Flange Beam,ASTM A36,32.5
43,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,30.39
36,L3x3x1/4 Angle,ASTM A709 Grade 50,20.48
50,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,7.66
25,HSS4x4x1/4 Hollow Structural Section,ASTM A992,37.36
34,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,11.4
